iter	TotalF1	MultiClass
426	1	0.0009795863408
427	1	0.0009766813598
428	1	0.0009737947625
429	1	0.0009711359422
430	1	0.0009686036091
431	1	0.0009657663831
432	1	0.0009632525698
433	1	0.0009604481541
434	1	0.0009576611648
435	1	0.0009548914362
436	1	0.0009521388045
437	1	0.0009497099346
438	1	0.0009469887567
439	1	0.0009445749401
440	1	0.0009418845638
441	1	0.000939210545
442	1	0.0009372878756
443	1	0.0009346408531
444	1	0.0009318294546
445	1	0.0009292150304
446	1	0.0009266162665
447	1	0.0009240330192
448	1	0.000921277817
449	1	0.0009189051432
450	1	0.0009163661735
451	1	0.0009143339539
452	1	0.0009120880683
453	1	0.0009095879982
454	1	0.0009073817696
455	1	0.0009046402744
456	1	0.0009021824684
457	1	0.0008997389214
458	1	0.0008975659684
459	1	0.0008951486044
460	1	0.0008927451427
461	1	0.0008901889842
462	1	0.0008878136909
463	1	0.0008856997579
464	1	0.0008831675964
465	1	0.0008808308647
466	1	0.0008785073331
467	1	0.0008761968874
468	1	0.0008738994145
469	1	0.0008716148027
470	1	0.0008693429415
471	1	0.0008670837219
472	1	0.0008648370359
473	1	0.0008624454343
474	1	0.0008602241662
475	1	0.00085801511
476	1	0.0008560442751
477	1	0.0008538576907
478	1	0.0008516830282
479	1	0.0008497421981
480	1	0.0008475894784
481	1	0.0008451313955
482	1	0.0008432216013
483	1	0.0008411030917
484	1	0.000838995946
485	1	0.0008372978193
486	1	0.0008354245196
487	1	0.000833346762
488	1	0.0008312800385
489	1	0.0008292242593
490	1	0.0008271793353
491	1	0.0008251451785
492	1	0.0008231217019
493	1	0.0008211088193
494	1	0.0008194841194
495	1	0.0008174897137
496	1	0.0008155056716
497	1	0.0008135319104
498	1	0.0008115683483
499	1	0.0008095195508
